time_s,x_m,y_m,z_m
1.780994367069806576e+09,1.400491579639312652e-02,-7.967492233245292432e-01,9.995563283588976278e-02
1.780994367080991268e+09,1.400366384609197726e-02,-7.967745851607036522e-01,1.000089218987322837e-01
1.780994367093777895e+09,1.401700978469445219e-02,-7.967439749172704477e-01,9.999400238238392857e-02
1.780994367108761311e+09,1.400369695558357011e-02,-7.967503559927106016e-01,9.998655604032397060e-02
1.780994367122222424e+09,1.400842169974394168e-02,-7.967575348092894583e-01,1.000019629493571482e-01
1.780994367133612871e+09,1.400915651920320304e-02,-7.967779506107144361e-01,9.999367776761741711e-02
1.780994367145125151e+09,1.401633497166622153e-02,-7.967621444342027903e-01,1.000065794795484964e-01
1.780994367155879021e+09,1.400828837444909741e-02,-7.967505649844427440e-01,9.999882899545953219e-02
1.780994367166864157e+09,1.400659240292620109e-02,-7.967498761276943231e-01,9.997474147602392058e-02
1.780994367178606272e+09,1.398068316032106441e-02,-7.967753466647803373e-01,1.000178088803334586e-01
1.780994367190659046e+09,1.399729028567123744e-02,-7.967506328137364813e-01,9.997353854368057346e-02
1.780994367203781843e+09,1.401520954948643968e-02,-7.967574326509364591e-01,1.000006979265365969e-01
1.780994367214891195e+09,1.401755467365017015e-02,-7.967619525230336119e-01,9.999682574615231800e-02
1.780994367225212097e+09,1.401039227904975551e-02,-7.967484452512791915e-01,9.998921291631690522e-02
1.780994367237156630e+09,1.399680553171007806e-02,-7.967616126516005037e-01,1.000059548086030814e-01
1.780994367252310991e+09,1.400127803254195245e-02,-7.967561472762910713e-01,9.997353871168845885e-02
1.780994367270800591e+09,1.402221521219642816e-02,-7.967632330856562195e-01,1.000144717566597286e-01
1.780994367284027338e+09,1.403490986595394216e-02,-7.967714249532000803e-01,1.000058252140871295e-01
1.780994367294322252e+09,1.399291811137749753e-02,-7.967341546482040737e-01,9.998414120479159894e-02
1.780994367309611559e+09,1.399344347124113416e-02,-7.967475357977936712e-01,9.999742555289170554e-02
1.780994367322665691e+09,1.399742479501437341e-02,-7.967447842450929851e-01,9.998938115650074510e-02
1.780994367336484194e+09,1.400961455780876976e-02,-7.967625289250708231e-01,1.000160924050310096e-01
1.780994367347063780e+09,1.400609529485107377e-02,-7.967669850650396235e-01,1.000082869997657165e-01
1.780994367358051300e+09,1.402049703385642443e-02,-7.967400891534260898e-01,9.996505347191753099e-02
1.780994367368367672e+09,1.400985881411408521e-02,-7.967635515482185404e-01,1.000134218691172139e-01
1.780994367380574703e+09,1.400985881411408521e-02,-7.967635515482185404e-01,1.000134218691172139e-01
1.780994367391467333e+09,1.399498294758568656e-02,-7.967363879651144787e-01,9.997496104276354378e-02
1.780994367408161163e+09,1.400409765245317663e-02,-7.967442006626940243e-01,9.999165617897315395e-02
1.780994367419116974e+09,1.401445438263773137e-02,-7.967763800916315420e-01,9.998847594994192400e-02
1.780994367432131529e+09,1.400904470335427934e-02,-7.967316224089073806e-01,9.999712055070791861e-02
1.780994367447397232e+09,1.400691835539782243e-02,-7.967640192779285035e-01,1.000020927526799608e-01
1.780994367463468790e+09,1.402343831191787613e-02,-7.967487796318383220e-01,9.996381184742880732e-02
1.780994367474415779e+09,1.401730257008095872e-02,-7.967597838259640186e-01,9.999319543502810381e-02
1.780994367491733551e+09,1.401963904623960977e-02,-7.967422047273028385e-01,9.998529692721830342e-02
1.780994367508070469e+09,1.401182668410873300e-02,-7.967496813078475126e-01,9.998574249495362221e-02
1.780994367518305063e+09,1.402432467827073072e-02,-7.967572594994050128e-01,9.998187565531974075e-02
1.780994367528825760e+09,1.400715906555627041e-02,-7.967522485631642892e-01,9.997169312741865932e-02
