ref_x,ref_y,ref_z,fk_x,fk_y,fk_z,err_x,err_y,err_z,xy_err,xyz_err
1.315145942418538549e-02,-8.004558274703083010e-01,1.000000000000000056e-01,1.315145942418485987e-02,-8.004558274703065246e-01,9.999999999999986677e-02,-5.256212132209725496e-16,1.776356839400250465e-15,-1.387778780781445676e-16,1.852490561560823375e-15,1.857681506640954504e-15
1.484557353158466597e-02,-7.983169287432022587e-01,1.000000000000000056e-01,1.484557353158482210e-02,-7.983169287432023697e-01,9.999999999999992228e-02,1.561251128379126385e-16,-1.110223024625156540e-16,-8.326672684688674053e-17,1.915750570996372162e-16,2.088883680402604641e-16
1.727279698529776697e-02,-7.951648674611513368e-01,1.000000000000000056e-01,1.727279698529813820e-02,-7.951648674611523360e-01,9.999999999999981126e-02,3.712308238590367182e-16,-9.992007221626408864e-16,-1.942890293094023946e-16,1.065933585057437843e-15,1.083495562825890041e-15
2.005421933666812206e-02,-7.916750853274521216e-01,1.000000000000000056e-01,2.005421933666730674e-02,-7.916750853274501232e-01,9.999999999999981126e-02,-8.153200337090993344e-16,1.998401444325281773e-15,-1.942890293094023946e-16,2.158322285954713307e-15,2.167049449587795802e-15
2.281093013703905381e-02,-7.885230240454010886e-01,1.000000000000000056e-01,2.281093013703886646e-02,-7.885230240454000894e-01,9.999999999999981126e-02,-1.873501354054951662e-16,9.992007221626408864e-16,-1.942890293094023946e-16,1.016613080973681159e-15,1.035012262399238616e-15
2.516401893775410681e-02,-7.863841253182950464e-01,1.000000000000000056e-01,2.516401893775441212e-02,-7.863841253182962676e-01,9.999999999999986677e-02,3.053113317719180486e-16,-1.221245327087672194e-15,-1.387778780781445676e-16,1.258830869593615373e-15,1.266457444087913243e-15
2.705307972525927696e-02,-7.854835363805662274e-01,1.000000000000000056e-01,2.705307972525910348e-02,-7.854835363805652282e-01,1.000000000000000333e-01,-1.734723475976807094e-16,9.992007221626408864e-16,2.775557561562891351e-17,1.014147296279684260e-15,1.014527037850223359e-15
2.873071946532573806e-02,-7.853709627633501666e-01,1.000000000000000056e-01,2.873071946532636256e-02,-7.853709627633518320e-01,9.999999999999975575e-02,6.245004513516505540e-16,-1.665334536937734811e-15,-2.498001805406602216e-16,1.778578065100330243e-15,1.796034538602802391e-15
3.028754717828424647e-02,-7.857086836149984599e-01,1.000000000000000056e-01,3.028754717828403137e-02,-7.857086836149976827e-01,9.999999999999981126e-02,-2.151057110211240797e-16,7.771561172376095783e-16,-1.942890293094023946e-16,8.063759033315296504e-16,8.294518216169823981e-16
3.181417188446578059e-02,-7.861589780838629249e-01,1.000000000000000056e-01,3.181417188446605815e-02,-7.861589780838632580e-01,9.999999999999997780e-02,2.775557561562891351e-16,-3.330669073875469621e-16,-2.775557561562891351e-17,4.335559509131366993e-16,4.344434768182727956e-16
