t,u1,u2,u3,u4,u5,u6,u_norm,e1,e2,e3,e4,e5,e6,e_norm,q1,q2,q3,q4,q5,q6
0.000000000000000000e+00,4.000000000000000777e-02,3.194243616107768358e-02,-4.656083897203444621e-02,3.875876338680335487e-02,-3.208121739448266049e-04,4.000000000000000777e-02,8.882891203549329873e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.338501756504103302e+00,-2.393603347084287403e-01,-1.774899233857204495e+00,4.448780905327687218e-01,1.577003341452242857e+00,2.259327850763418466e-01
1.333333333333333419e-02,8.000000000000000167e-02,6.389323267841150178e-02,-9.311947086228947179e-02,7.751544243879632257e-02,-4.868281552352102335e-04,8.000000000000000167e-02,1.776582726863724926e-01,-2.213503482638934372e-03,-2.835553050151151666e-03,3.556327583710050533e-03,-4.159475580491900359e-04,-3.677266176005389298e-07,-2.213553581349003707e-03,5.537170451982321474e-03,-1.337968423170770027e+00,-2.389344355596145775e-01,-1.775520045043498252e+00,4.453948740445925480e-01,1.576999063956590064e+00,2.264661184096752322e-01
2.666666666666666838e-02,1.199999999999999956e-01,9.679816170167121481e-02,-1.389118955572504477e-01,1.062319518216673364e-01,-5.828312519788650913e-04,1.200000000000000094e-01,2.622059612522962269e-01,-5.132786353172491545e-03,-6.784937063766705023e-03,8.442320091496924306e-03,-7.334141092014689889e-04,-1.102054181245648579e-06,-5.132908911611444580e-03,1.305903084454895259e-02,-1.336901756504103256e+00,-2.380825257905692105e-01,-1.776761637988328868e+00,4.464284132771099145e-01,1.576992572914519997e+00,2.275327850763417814e-01
4.000000000000000083e-02,1.599999999999999756e-01,1.336656028923599304e-01,-1.814878147167562905e-01,9.290167022239548267e-02,-5.915097914490706054e-04,1.600000000000000033e-01,3.326189869823817369e-01,-8.098187909275189611e-03,-1.079780786374007207e-02,1.332889302898632167e-02,-7.804851096784304332e-04,-2.158579516464698145e-06,-8.098393108473267432e-03,2.064039302095772854e-02,-1.335301756504103210e+00,-2.367918836345470623e-01,-1.778613796595758911e+00,4.478448393013989559e-01,1.576984801831160077e+00,2.291327850763416052e-01
5.333333333333333676e-02,2.000000000000000111e-01,1.155793390654973052e-01,-1.533536084156380819e-01,6.244040380450948530e-02,-4.641773124001253247e-04,2.000000000000000111e-01,3.475268799974494671e-01,-1.042824869161895762e-02,-1.378719396973737688e-02,1.694540621472517827e-02,-8.341694205871164058e-04,-3.356105490404104330e-06,-1.042853431468238057e-02,2.637104582593675570e-02,-1.333168423170769890e+00,-2.350096755959820705e-01,-1.781033634125315679e+00,4.490835282376974824e-01,1.576976915033940330e+00,2.312661184096747036e-01
6.666666666666666574e-02,2.018516956100469550e-01,8.344444739104732445e-02,-1.069326537674686189e-01,2.583770334522629206e-02,-3.295398807400167830e-04,2.018553169661506108e-01,3.171039888758823144e-01,-1.141775502857012015e-02,-1.545629269948944895e-02,1.894822633640380616e-02,-8.616086921167109836e-04,-3.973847355176474139e-06,-1.141810625316352912e-02,2.931574544402106713e-02,-1.330501756504103295e+00,-2.334686177417752972e-01,-1.783078348904190813e+00,4.499160669550907876e-01,1.576970726003108503e+00,2.339327850763415206e-01
8.000000000000000167e-02,1.625562377725478513e-01,4.995173443853031386e-02,-6.160878792496976564e-02,3.141116913916583257e-03,-2.490470079160271707e-04,1.625591489265954537e-01,2.432092812813370919e-01,-1.140563095834146168e-02,-1.564970348218430729e-02,1.916751791679160988e-02,-8.727108187733811917e-04,-4.232649064128679584e-06,-1.140598180998386724e-02,2.955086196487170802e-02,-1.327810400562636106e+00,-2.323560251098948370e-01,-1.784504117621090291e+00,4.502605696663604107e-01,1.576966332138032278e+00,2.366241893025566867e-01
9.333333333333333759e-02,1.398059842622445814e-01,1.548164937135395464e-02,-1.707871051080986705e-02,-9.537807058744270441e-03,-1.964130883874353286e-04,1.398084842484652313e-01,1.992849659782419125e-01,-1.139351976219149520e-02,-1.507365295546136963e-02,1.846215935370132399e-02,-8.702525098254199065e-04,-4.194659178224924290e-06,-1.139387024127858083e-02,2.878291628893284160e-02,-1.325642984059002050e+00,-2.316900019840479885e-01,-1.785325568126756579e+00,4.503024512252125078e-01,1.576963011511260504e+00,2.387916446215778699e-01
1.066666666666666735e-01,1.339161023605539569e-01,-1.993186372426814651e-02,2.667950566077163105e-02,-1.231596488420739696e-02,-1.730015749744761449e-04,1.339184928196249791e-01,1.926875017351209196e-01,-1.138142142645071075e-02,-1.426122277434238583e-02,1.747585553081121290e-02,-8.562695720946145173e-04,-3.904654717334921088e-06,-1.138177153337682768e-02,2.772368466319166669e-02,-1.323778904268838819e+00,-2.314835799924299664e-01,-1.785553284266900631e+00,4.501752804644292283e-01,1.576960392670081923e+00,2.406557577448906748e-01
1.200000000000000094e-01,1.450806130302169927e-01,-3.191817455243942808e-02,4.037337789532390725e-02,-7.363484279435447873e-03,-2.287701927774315710e-04,1.450831965702083226e-01,2.116614536240042366e-01,-1.136933593746158877e-02,-1.374389126393227301e-02,1.684982125510670059e-02,-8.327474176854643417e-04,-3.405994699612335808e-06,-1.136968567262286456e-02,2.705616482836032538e-02,-1.321993356237364692e+00,-2.317493381754203163e-01,-1.785197557524756951e+00,4.500110675993065357e-01,1.576958085982415270e+00,2.424413376491525440e-01
1.333333333333333315e-01,1.563450685854223809e-01,-6.601801719069931226e-03,8.205179433352270679e-03,-7.425940081046411567e-04,-2.491512365982511096e-04,1.563478456692283247e-01,2.213593268738867914e-01,-1.135726328158348508e-02,-1.372670447509616309e-02,1.683405271767091094e-02,-8.314581257571340700e-04,-3.393521534000853990e-06,-1.135761264537471504e-02,2.702742819856163159e-02,-1.320058948063628446e+00,-2.321749138361193232e-01,-1.784659245819485873e+00,4.499128878089142525e-01,1.576955035713178077e+00,2.443757802700887716e-01
