time_s,q1,q2,q3,q4,q5,q6
1.781067594490483522e+09,-1.331480328236715138e+00,-1.804476400414937842e+00,-1.782191753387451172e+00,-1.124281154280044603e+00,1.576991081237792969e+00,3.374535799026489258e+00
1.781067594502849579e+09,-1.331471268330709279e+00,-1.804467340508931983e+00,-1.782207131385803223e+00,-1.124284581547119188e+00,1.577018380165100098e+00,3.374563217163085938e+00
1.781067594515664816e+09,-1.331467930470601857e+00,-1.804491659204000342e+00,-1.782207131385803223e+00,-1.124284581547119188e+00,1.576987624168395996e+00,3.374547719955444336e+00
1.781067594525904179e+09,-1.331464592610494435e+00,-1.804452081719869483e+00,-1.782188296318054199e+00,-1.124303357010223436e+00,1.576987624168395996e+00,3.374532222747802734e+00
1.781067594536107302e+09,-1.331495110188619435e+00,-1.804456373254293311e+00,-1.782200217247009277e+00,-1.124296502476074266e+00,1.576975703239440918e+00,3.374551296234130859e+00
1.781067594546693563e+09,-1.331480328236715138e+00,-1.804452081719869483e+00,-1.782188296318054199e+00,-1.124318735008575487e+00,1.576991081237792969e+00,3.374563217163085938e+00
1.781067594556827307e+09,-1.331480328236715138e+00,-1.804464002648824561e+00,-1.782184958457946777e+00,-1.124299929743148851e+00,1.576991081237792969e+00,3.374566793441772461e+00
1.781067594567287207e+09,-1.331467930470601857e+00,-1.804467340508931983e+00,-1.782207131385803223e+00,-1.124281154280044603e+00,1.577006459236145020e+00,3.374566793441772461e+00
1.781067594577469349e+09,-1.331483666096822560e+00,-1.804444452325338233e+00,-1.782207131385803223e+00,-1.124288008814193773e+00,1.577006459236145020e+00,3.374535799026489258e+00
1.781067594591599464e+09,-1.331483666096822560e+00,-1.804456373254293311e+00,-1.782203674316406250e+00,-1.124299929743148851e+00,1.576972365379333496e+00,3.374532222747802734e+00
1.781067594603866100e+09,-1.331483666096822560e+00,-1.804444452325338233e+00,-1.782207131385803223e+00,-1.124306814079620409e+00,1.576987624168395996e+00,3.374551296234130859e+00
1.781067594623607397e+09,-1.331461254750387013e+00,-1.804460187951558936e+00,-1.782203674316406250e+00,-1.124306814079620409e+00,1.576979160308837891e+00,3.374566793441772461e+00
1.781067594633908510e+09,-1.331483666096822560e+00,-1.804456373254293311e+00,-1.782203674316406250e+00,-1.124306814079620409e+00,1.576975703239440918e+00,3.374551296234130859e+00
1.781067594646354437e+09,-1.331467930470601857e+00,-1.804476400414937842e+00,-1.782215595245361328e+00,-1.124288008814193773e+00,1.576991081237792969e+00,3.374551296234130859e+00
1.781067594658581018e+09,-1.331480328236715138e+00,-1.804460187951558936e+00,-1.782200217247009277e+00,-1.124291436081268358e+00,1.577003002166748047e+00,3.374554872512817383e+00
1.781067594691711664e+09,-1.331467930470601857e+00,-1.804476400414937842e+00,-1.782207131385803223e+00,-1.124299929743148851e+00,1.576991081237792969e+00,3.374551296234130859e+00
1.781067594705163479e+09,-1.331464592610494435e+00,-1.804484506646627295e+00,-1.782212138175964355e+00,-1.124296502476074266e+00,1.576959848403930664e+00,3.374566793441772461e+00
1.781067594720564365e+09,-1.331464592610494435e+00,-1.804476400414937842e+00,-1.782207131385803223e+00,-1.124281154280044603e+00,1.577006459236145020e+00,3.374554872512817383e+00
1.781067594736750126e+09,-1.331464592610494435e+00,-1.804436346093648780e+00,-1.782207131385803223e+00,-1.124296502476074266e+00,1.576999664306640625e+00,3.374554872512817383e+00
1.781067594747190237e+09,-1.331476990376607716e+00,-1.804464002648824561e+00,-1.782200217247009277e+00,-1.124296502476074266e+00,1.576987624168395996e+00,3.374566793441772461e+00
1.781067594762720108e+09,-1.331464592610494435e+00,-1.804441114465230811e+00,-1.782203674316406250e+00,-1.124299929743148851e+00,1.576987624168395996e+00,3.374570369720458984e+00
1.781067594773188114e+09,-1.331483666096822560e+00,-1.804476400414937842e+00,-1.782215595245361328e+00,-1.124253885155059862e+00,1.577006459236145020e+00,3.374563217163085938e+00
1.781067594783725262e+09,-1.331487003956929982e+00,-1.804467340508931983e+00,-1.782188296318054199e+00,-1.124272660618164110e+00,1.577003002166748047e+00,3.374563217163085938e+00
1.781067594794708729e+09,-1.331483666096822560e+00,-1.804476400414937842e+00,-1.782196760177612305e+00,-1.124277727012970018e+00,1.577009797096252441e+00,3.374547719955444336e+00
1.781067594805941582e+09,-1.331483666096822560e+00,-1.804464002648824561e+00,-1.782222509384155273e+00,-1.124284581547119188e+00,1.577009797096252441e+00,3.374570369720458984e+00
1.781067594817567587e+09,-1.331480328236715138e+00,-1.804441114465230811e+00,-1.782219052314758301e+00,-1.124284581547119188e+00,1.577006459236145020e+00,3.374563217163085938e+00
1.781067594832864523e+09,-1.331483666096822560e+00,-1.804448267022603858e+00,-1.782188296318054199e+00,-1.124289498930313158e+00,1.577006459236145020e+00,3.374547719955444336e+00
1.781067594852488279e+09,-1.331480328236715138e+00,-1.804472585717672217e+00,-1.782184839248657227e+00,-1.124299929743148851e+00,1.577003002166748047e+00,3.374566793441772461e+00
1.781067594870977163e+09,-1.331467930470601857e+00,-1.804448267022603858e+00,-1.782203674316406250e+00,-1.124299929743148851e+00,1.576968908309936523e+00,3.374551296234130859e+00
1.781067594881246090e+09,-1.331483666096822560e+00,-1.804472585717672217e+00,-1.782191753387451172e+00,-1.124257342224456835e+00,1.577006459236145020e+00,3.374566793441772461e+00
1.781067594891442060e+09,-1.331480328236715138e+00,-1.804444452325338233e+00,-1.782219052314758301e+00,-1.124265806084014940e+00,1.577006459236145020e+00,3.374566793441772461e+00
1.781067594901724100e+09,-1.331464592610494435e+00,-1.804456373254293311e+00,-1.782184958457946777e+00,-1.124281154280044603e+00,1.576999545097351074e+00,3.374563217163085938e+00
1.781067594911965847e+09,-1.331448856984273732e+00,-1.804464002648824561e+00,-1.782203674316406250e+00,-1.124277756815292406e+00,1.577009797096252441e+00,3.374551296234130859e+00
